,genes,logFC,AveExpr,t,P.Value,adj.P.Val,expr
PARP14,PARP14,0.824746909228483,6.31179927592614,11.6349241119403,2.68046673502305e-11,1.32720075338607e-08,up
CFB,CFB,1.15127374647087,4.4866086309852,11.600495230266,2.84704816973135e-11,1.36269215563908e-08,up
ADAR,ADAR,0.603702218398972,8.68071222111943,11.5009871284315,3.39146042454045e-11,1.5709025882573e-08,up
LGALS3BP,LGALS3BP,0.726319780542626,6.98726294108032,11.3591626274526,4.36017314967421e-11,1.95649144550537e-08,up
SP110,SP110,1.19884464347154,3.67875497129477,11.0288706085533,7.89535964028103e-11,3.43543845681198e-08,up
PARP10,PARP10,1.98868662831149,2.08037195560222,10.7215318711504,1.38719088146584e-10,5.85843349028472e-08,up
PARP12,PARP12,0.897250464870387,4.93715072344998,10.6578073517135,1.56127354403909e-10,6.40523623395921e-08,up
C3,C3,0.718727758126113,6.48940719483205,10.38510714033,2.603352260964e-10,1.03837597542172e-07,up
SAT1,SAT1,0.586407611039316,8.14425059407964,10.139165312946,4.16007313595254e-10,1.61444567997682e-07,up
IFIT5,IFIT5,0.891132893357124,4.89284131098537,10.0984541228293,4.49888024651572e-10,1.69998477525577e-07,up
TRIM25,TRIM25,0.572817999775241,7.36477230217513,9.62377710939787,1.13792935419273e-09,4.18962246073163e-07,non
UBE2L6,UBE2L6,0.771898167530183,5.13028353355307,9.58708216436393,1.22399122718353e-09,4.39382250778207e-07,up
TYMP,TYMP,0.896461445959549,4.70359551154306,9.57304656306324,1.25866084882142e-09,4.40807588493337e-07,up
C19orf66,C19orf66,0.894241516490364,4.061520894277,9.42935270288901,1.67772590687534e-09,5.73582530876739e-07,up
OASL,OASL,2.77757011112301,1.04504686557428,8.99752470931447,4.04313824740309e-09,1.35012609522002e-06,up
OAS2,OAS2,3.70875620171165,-0.465922519579789,8.94278748449363,4.52781254620542e-09,1.4776104625219e-06,up
RAP1GAP,RAP1GAP,-0.627167663975932,6.07829588571727,-8.88365028345132,5.11919580862409e-09,1.61035796336059e-06,down
CXCL2,CXCL2,0.693728255986248,5.10666429493528,8.87993689573297,5.15888754889526e-09,1.61035796336059e-06,up
REC8,REC8,1.33177802789665,2.42402308714697,8.61113969161472,9.06675324208724e-09,2.76998957027938e-06,up
IFITM1,IFITM1,3.93450588453683,-0.843124289331189,8.56110516033492,1.00807798300758e-08,2.95887373733086e-06,up
USP18,USP18,0.997619615902283,3.6188358077363,8.56034112618568,1.00971385980369e-08,2.95887373733086e-06,up
STAT2,STAT2,0.596339572192597,5.59063962632684,8.50849765242336,1.12735159219565e-08,3.23752830246747e-06,up
SAMD9,SAMD9,1.41076287124199,3.26823761325537,8.48046187793732,1.19675711440398e-08,3.36945792269153e-06,up
DDX60L,DDX60L,0.836483150382262,4.88156322409711,8.33953832970438,1.61850802968933e-08,4.42248902400961e-06,up
HERC5,HERC5,0.832051826724144,4.03360953292931,8.33557531752179,1.63236937302395e-08,4.42248902400961e-06,up
CCL20,CCL20,0.92078519883265,3.86820540765859,8.26131982095809,1.91593497995999e-08,5.09461303282323e-06,up
DKK1,DKK1,0.451555637395882,8.53010642873376,8.23560441038924,2.02556049795576e-08,5.28818603457215e-06,non
IL8,IL8,0.584378430276399,6.54066851977802,8.2222641775328,2.08495142651848e-08,5.34603884524624e-06,non
IFI44,IFI44,4.0821876076242,-1.20588120498034,8.13235412095207,2.53485735498519e-08,6.38561697547937e-06,up
APOL1,APOL1,0.747681199754351,4.09498942341295,7.96016146181543,3.69637850692677e-08,9.15108603120024e-06,up
IFI44L,IFI44L,4.16252746075442,-2.49902492036847,7.90641871021533,4.16158154289387e-08,1.01281609109175e-05,up
SAMD9L,SAMD9L,1.82841757902831,1.70220996121481,7.87506456930247,4.46036886007415e-08,1.06744060769675e-05,up
SYNE1,SYNE1,-0.554545571252749,6.17553827558854,-7.86212621422304,4.59000630523313e-08,1.08045738584988e-05,non
XAF1,XAF1,4.27638813392188,-2.35727035433459,7.82538321610187,4.97967404515988e-08,1.15327644539437e-05,up
CDH1,CDH1,0.546709484217901,5.72675915412952,7.81708679088531,5.07226697312552e-08,1.15607430900174e-05,non
UAP1L1,UAP1L1,-0.667552380869283,4.95226743374773,-7.71301532463769,6.39598910024751e-08,1.43500011703834e-05,down
AHNAK2,AHNAK2,-0.401933994629028,9.51120116023639,-7.62034900119327,7.87231660748278e-08,1.72169947405316e-05,non
FGA,FGA,0.589434780423518,5.11526255229403,7.61801868411801,7.91365452242554e-08,1.72169947405316e-05,up
KRT4,KRT4,-1.06674546151196,2.71635800052589,-7.56851214080805,8.84651608406215e-08,1.89592723061266e-05,down
OSGIN1,OSGIN1,-0.563266819552086,5.41408561705876,-7.53143599398912,9.61851908002078e-08,2.03106346279439e-05,non
CXCL1,CXCL1,0.562682944290514,6.66646643684779,7.51018510614009,1.00918397688238e-07,2.10012648174698e-05,non
