,genes,logFC,AveExpr,t,P.Value,adj.P.Val,expr
MMP9,MMP9,1.96249712047524,4.08971556152075,8.73897277476347,1.2499946820004e-07,2.98960055814728e-05,up
SERPINB1,SERPINB1,0.779405907736899,6.99244140038599,8.73557084092759,1.25675074258275e-07,2.98960055814728e-05,up
IFI6,IFI6,2.58091240981721,3.34784675679932,8.64990581115145,1.44011809670285e-07,3.36964026135079e-05,up
THBD,THBD,-0.992815946900357,4.79119426525029,-8.55218577249921,1.68400396992181e-07,3.87674010688614e-05,down
EDN1,EDN1,1.13739916847215,4.10853166472409,8.50860636396732,1.80637322179821e-07,4.09243888805172e-05,up
XAF1,XAF1,2.6379364040467,2.20666686111964,8.48736256930548,1.8693679868101e-07,4.16898269933447e-05,up
IVL,IVL,1.05272676951525,7.18251913928271,8.37372780119469,2.24770576599364e-07,4.93561606123495e-05,up
TFCP2L1,TFCP2L1,-0.630873931354226,6.56394897408294,-8.34421176034195,2.35854716178237e-07,5.10053691516966e-05,down
BCL2A1,BCL2A1,2.48997903189934,1.8023639386587,8.27257950199771,2.65201270271869e-07,5.6495787023737e-05,up
TSC22D3,TSC22D3,-0.70862836473727,5.54639360457974,-8.21397835167239,2.92044787425564e-07,6.12993419253687e-05,down
TGM1,TGM1,0.798430206451549,5.84937399468446,8.15020492328381,3.24513757742856e-07,6.71273168733882e-05,up
C1QTNF1,C1QTNF1,1.71000127539546,2.74132122918616,8.13398267271879,3.33361126271038e-07,6.79723336466647e-05,up
KYNU,KYNU,0.880808097436346,6.46998215025281,8.09983690982321,3.52818385317816e-07,7.09264339949463e-05,up
IFITM1,IFITM1,1.71314925373115,2.82803079810704,8.08839282103196,3.59602391973824e-07,7.12861797311444e-05,up
TUBA1C,TUBA1C,0.665341838030636,7.96513619016274,8.04968415513742,3.83577884891811e-07,7.49973582337099e-05,up
S100P,S100P,0.692198118751002,5.59998515069507,8.01034751630974,4.09660956265791e-07,7.90147409294815e-05,up
VTCN1,VTCN1,-1.21193734838362,3.62569889254832,-7.99227348072889,4.22261043366109e-07,7.94437542757162e-05,down
IFI44,IFI44,0.908316706997362,4.28754655453465,7.99037960759964,4.23604590983031e-07,7.94437542757162e-05,up
XDH,XDH,0.748656528814222,5.6067340892953,7.98341597890737,4.28583274660558e-07,7.94437542757162e-05,up
SPRR2E,SPRR2E,3.46398992084262,0.893806154220563,7.93092162694043,4.68140639043596e-07,8.56637351419134e-05,up
IFI44L,IFI44L,2.59231824602971,2.7411367172494,7.82952259128978,5.55743956146788e-07,0.000100086085431985,up
PLSCR1,PLSCR1,0.899178394669029,4.93870015784264,7.82400059638632,5.6098135182224e-07,0.000100086085431985,up
EFNA1,EFNA1,0.654020768489491,6.52089310316643,7.80837504734299,5.76082942798699e-07,0.000101511504229208,up
STC1,STC1,0.768487676690125,5.64338686609658,7.69504859672754,6.99149544514021e-07,0.000121694651815227,up
SEPP1,SEPP1,-1.06828243249534,3.88563412475218,-7.64478693978429,7.62249078281205e-07,0.000131079290292863,down
PDGFB,PDGFB,1.00226327684685,3.9524275964708,7.59803149014259,8.26295985195322e-07,0.000140401459484438,up
COL8A1,COL8A1,0.671480238008459,5.60545741835562,7.57074098963144,8.66253919933405e-07,0.000145243968492495,up
CLCA2,CLCA2,-0.552514920948784,8.14685193418124,-7.56484571988997,8.75147571663603e-07,0.000145243968492495,non
PARP9,PARP9,0.697195465043772,5.93329965763913,7.52760199840312,9.33582514659013e-07,0.000151662612100807,up
METTL7A,METTL7A,-1.0396775760238,3.35159630999262,-7.52668359663192,9.35073906317593e-07,0.000151662612100807,down
MMP1,MMP1,0.805519516733865,5.16459491320597,7.47891513900352,1.01617767236695e-06,0.000162965212558354,up
NID1,NID1,-1.51995978697714,2.36776396457875,-7.46848253709491,1.03484803013572e-06,0.000164115399268079,down
DUSP4,DUSP4,0.706225450563805,6.62771937975909,7.43756990435462,1.09230119217737e-06,0.000171323240834589,up
TUBA1A,TUBA1A,0.59405675392069,8.84489578904202,7.40323952207472,1.16002549422404e-06,0.000177544190979004,up
ALDH3A1,ALDH3A1,-0.78843454516378,5.8952289704555,-7.40031030939441,1.16600336800706e-06,0.000177544190979004,down
PLAU,PLAU,0.520204972096835,9.54635317506188,7.39871067052164,1.16928143712088e-06,0.000177544190979004,non
PI3,PI3,1.79801733192647,2.09765022438583,7.37282252175559,1.22369096560401e-06,0.000183849906863853,up
ZBED2,ZBED2,0.694100571513732,6.14880931827304,7.36307285078726,1.24486100735475e-06,0.0001850823037289,up
MAF,MAF,-0.852771501283274,5.69070460009994,-7.23230747373374,1.56879370857076e-06,0.000230839098994129,down
DUSP10,DUSP10,-0.602791487143833,5.98033978405581,-7.17845450519013,1.72672256105623e-06,0.000251484807285261,down
TGM2,TGM2,0.691916908301485,7.87804908983976,7.15902554930987,1.78769375269454e-06,0.000256692953201381,up
CSF2,CSF2,2.95040385267669,1.0757548251547,7.15566935818471,1.79845129406138e-06,0.000256692953201381,up
STAT1,STAT1,0.560770327039645,6.95802784281264,7.03168879764399,2.24705840767583e-06,0.000317547174779773,non
CSF3,CSF3,4.71938740368965,0.730057032995118,7.01057274856472,2.33440905844717e-06,0.000326657063639377,up
PARP12,PARP12,0.733493149861608,4.63282259378534,6.98476013559513,2.44601490773023e-06,0.000337790416918884,up
MAP7D2,MAP7D2,-1.44982707792782,1.81346247235641,-6.9813196729299,2.46130479643831e-06,0.000337790416918884,down
IFITM3,IFITM3,0.695040511134275,7.2092907795401,6.96467736110064,2.53668335054015e-06,0.000344819823450092,up
CXCL14,CXCL14,-1.48249003504097,2.67998156917453,-6.95485533700586,2.58229499534481e-06,0.000345405020267629,down
FOSL1,FOSL1,0.601565904434337,6.40053016204487,6.95017137505387,2.60434639078067e-06,0.000345405020267629,up
ITGA5,ITGA5,0.488561623182275,8.49210535929557,6.94662956041902,2.62115086615311e-06,0.000345405020267629,non
PROS1,PROS1,-0.740494871172002,4.55195832283367,-6.94314624469195,2.63778793590497e-06,0.000345405020267629,down
CALML3,CALML3,-1.11864963171598,5.46639727865181,-6.92581365975205,2.72222225381445e-06,0.000350445488605595,down
RHOV,RHOV,0.648122551833274,5.19966525061284,6.92517492518684,2.7253870409319e-06,0.000350445488605595,up
ATG9B,ATG9B,-1.32771875020441,2.16265746850461,-6.91618928934132,2.77031711194757e-06,0.000353042286953819,down
CSTB,CSTB,0.609595032022121,9.73887871051099,6.90232464919968,2.84116204067293e-06,0.00035886642306659,up
FEZ1,FEZ1,0.659932776592761,6.16994218612606,6.84813406284064,3.13666614766095e-06,0.000392716104610217,up
SLPI,SLPI,0.538438321692858,6.89182828671271,6.83867731373435,3.19142890897409e-06,0.00039609795493728,non
ADRB2,ADRB2,0.668922328354069,5.39219637202856,6.81915916440052,3.30762528619943e-06,0.000406980480257969,up
CYP2B7P1,CYP2B7P1,-1.06988090142565,3.40139933864916,-6.8059148228019,3.38897253031357e-06,0.000413425683121074,down
PCDH7,PCDH7,-0.66360976852309,5.07250194569854,-6.75295609019763,3.73563227666296e-06,0.00045185321597297,down
SERPINB2,SERPINB2,0.808119707156671,8.03783049275013,6.71878451722038,3.97872495011225e-06,0.000477212951369346,up
MX2,MX2,2.45640550400321,1.67505954308508,6.69236291486002,4.17793410739194e-06,0.000496930445956709,up
CTSH,CTSH,-0.639750093125794,6.56519618911434,-6.66528639076074,4.39286812204374e-06,0.000518176914925044,down
BMP2,BMP2,0.844713467234537,4.07706785817876,6.65954178278145,4.43992918534554e-06,0.000519435321823253,up
AQP3,AQP3,-0.534728526792854,7.21356116856582,-6.63414714348358,4.6543337968677e-06,0.000540091920997502,non
PLAUR,PLAUR,0.643327723694031,5.43850119454486,6.50307922589184,5.94532924294711e-06,0.000684336163585355,up
SOCS3,SOCS3,0.976413854930046,3.69101436059732,6.48782740523143,6.11806264205063e-06,0.000698584864719909,up
IL6R,IL6R,-0.688502667278596,5.56216192045065,-6.46312494905877,6.40897040823692e-06,0.000725993925688615,down
FGF1,FGF1,-0.949809892937713,3.49862653816691,-6.42447090038244,6.89333436282071e-06,0.000774713081579055,down
NEDD9,NEDD9,0.575899324100694,6.00138591448102,6.40625872389868,7.13457266296967e-06,0.000795560590770047,non
ALOX15B,ALOX15B,0.539112781654097,6.6598068350322,6.39991141097828,7.22069483693978e-06,0.000798922305485593,non
SLITRK6,SLITRK6,-0.601830250475565,5.67692481199652,-6.38668561757231,7.40363124554907e-06,0.000809566852628827,down
ENDOD1,ENDOD1,-0.489854914497134,6.8115788003351,-6.37707881359937,7.53952242383085e-06,0.000809566852628827,non
KRT23,KRT23,0.579381236063827,6.0118573114362,6.37684412785793,7.54287433722147e-06,0.000809566852628827,non
VNN1,VNN1,1.76452558298434,1.55699645663403,6.37678064061719,7.54378136338779e-06,0.000809566852628827,up
TCN1,TCN1,-0.820334624380974,3.84889585650796,-6.36688447348897,7.68655884970615e-06,0.000817376762868932,down
FDPS,FDPS,0.522942944169986,8.43881133402392,6.36383686105172,7.73109108017277e-06,0.000817376762868932,non
EPHA4,EPHA4,-0.815656103096313,3.53168388839754,-6.34855541685016,7.95845831378607e-06,0.000834349633284245,down
HDGF,HDGF,0.427488940507063,9.37402276324732,6.34525028114154,8.00854058431595e-06,0.000834349633284245,non
KRT4,KRT4,1.19210307686611,4.58739865715725,6.33314627839984,8.19476042959923e-06,0.000846068187344898,up
GJB2,GJB2,0.458454116681441,7.47298897977433,6.33027590033817,8.23957668611651e-06,0.000846068187344898,non
KRT17,KRT17,0.442659203213215,11.5039137953486,6.32322129119074,8.35080681014256e-06,0.000851364754294034,non
RAB15,RAB15,-0.798112631214938,3.63360646958863,-6.28299891573787,9.01545955536806e-06,0.000912607476835237,down
KCTD11,KCTD11,0.438614578640929,8.17100596509523,6.27745796092147,9.11123188963098e-06,0.000915807132117627,non
LY6D,LY6D,-0.792682144293351,4.17016924085968,-6.26229430788785,9.3787609633418e-06,0.000936105281327116,down
ETS1,ETS1,0.590072949138618,6.60208295047165,6.24771203719232,9.6437230580811e-06,0.000955867077833274,up
ITGB3,ITGB3,1.16682416008027,2.61210467352942,6.21330607129515,1.03001080485013e-05,0.00100240212335012,up
OTUB2,OTUB2,0.636490681015164,5.2123539915899,6.20989911705263,1.03675779708419e-05,0.00100240212335012,up
WWC1,WWC1,0.516615784894663,6.12328370338658,6.20814114394715,1.04025712142941e-05,0.00100240212335012,non
VEGFA,VEGFA,0.433289265544574,7.86271017870497,6.20708862973275,1.04235805677494e-05,0.00100240212335012,non
SLC25A37,SLC25A37,0.631375800203265,4.92804095892597,6.20505157857867,1.04643674335577e-05,0.00100240212335012,up
PRDM1,PRDM1,0.740572885790961,4.08227465110402,6.19387510046962,1.06911119177388e-05,0.00101729493601257,up
F3,F3,0.421322428330839,9.83583189704414,6.17439530974788,1.10985661400238e-05,0.00104435319463746,non
NFKB1,NFKB1,0.497393538792476,6.23714703534668,6.17330620881632,1.11218164075453e-05,0.00104435319463746,non
PRSS23,PRSS23,-0.451563349580792,8.4579990627979,-6.16474576295294,1.13063331082697e-05,0.00105474047355773,non
PPARGC1A,PPARGC1A,-1.01629495606851,2.38865203124098,-6.14761457498654,1.16851792210135e-05,0.00108300365598393,down
