,genes,logFC,AveExpr,t,P.Value,adj.P.Val,expr
STAT2,STAT2,2.90386028769943,7.18695565446217,15.395738473644,2.7942134481836e-53,1.998794019934e-50,up
PARP12,PARP12,3.02637116651436,6.21514036579907,15.3354732153898,7.03010360938076e-53,4.80028256455081e-50,up
IFIH1,IFIH1,3.17983969341898,5.08058828641988,14.4799430645471,2.34300746735798e-47,1.53028948585442e-44,up
C15orf48,C15orf48,2.80186131883929,6.45794684237295,14.4441529472798,3.92705558322637e-47,2.45800954046777e-44,up
HERC5,HERC5,3.47857340410323,4.31683462967773,14.1210997194322,3.92708556892095e-45,2.35970717665322e-42,up
STAT1,STAT1,2.59132878247466,7.9468372206281,13.9807535226467,2.81301491856992e-44,1.62527346564451e-41,up
USP18,USP18,3.44692512017264,4.28293060893001,13.92357324087,6.2397524616313e-44,3.47161338809723e-41,up
DDX60L,DDX60L,3.11402006685142,4.87883363544585,13.8618661251776,1.46892577380527e-43,7.88078677646529e-41,up
TYMP,TYMP,2.81681536787684,5.73671511887874,13.8209488887013,2.58623256684946e-43,1.33966846962802e-40,up
MT2A,MT2A,2.54811540024642,8.22845992314487,13.7723011936926,5.05621629233846e-43,2.53181603811695e-40,up
PLEKHA4,PLEKHA4,3.48150174785467,4.13657854673653,13.7243976595988,9.76224128241523e-43,4.73059317885295e-40,up
CDCP1,CDCP1,2.73959814315618,5.90742685155913,13.6458333360885,2.85789024582479e-42,1.34160085227438e-39,up
NLRC5,NLRC5,2.87093872970602,5.33455275737186,13.55608710056,9.67686117125431e-42,4.40502450044189e-39,up
SAMD9,SAMD9,3.47380609271078,4.05297747980407,13.5365164327117,1.26121290803712e-41,5.57233538368634e-39,up
SP110,SP110,2.85020145120388,5.29782350143301,13.4134756335212,6.6131909094498e-41,2.83838153833586e-38,up
IFI16,IFI16,3.5931359266348,3.73025800376287,13.1495077458732,2.20088077823951e-39,9.18378640297607e-37,up
TRIM22,TRIM22,3.47880328550314,3.83305407344907,13.0343873680484,9.93537544103947e-39,4.03376242906202e-36,up
IFI44L,IFI44L,4.72129510163046,2.76944481400023,13.0243269544335,1.13271764237677e-38,4.47781169046944e-36,up
APOL1,APOL1,2.41841078417436,7.06431109767124,12.8196854138675,1.5957798255812e-37,6.14661654868737e-35,up
IFI35,IFI35,2.40904721053494,7.03372241712094,12.7578182046973,3.52202853653316e-37,1.32269781689503e-34,up
C19orf66,C19orf66,2.45454093488984,6.47082610365054,12.6954494337179,7.7938980252017e-37,2.85560819840439e-34,up
IFITM1,IFITM1,2.63798982033475,5.44010556862403,12.6438962428626,1.49847076149282e-36,5.35953042360599e-34,up
SAMD9L,SAMD9L,3.70962777796267,3.38102112597908,12.628353250848,1.82397574373571e-36,6.37203805172044e-34,up
PNPT1,PNPT1,2.36564993256503,6.93782494048133,12.4872227234705,1.07520159355221e-35,3.67083598598665e-33,up
APOL2,APOL2,2.29911246036037,7.56742925885815,12.3564563044688,5.46797727713744e-35,1.82533232571463e-32,up
SERPINE1,SERPINE1,2.27723845795417,8.03628135649098,12.3000202659897,1.09754408728483e-34,3.58419723460712e-32,up
CMPK2,CMPK2,5.24580253159943,2.38999624490039,12.2569221149256,1.86462454484497e-34,5.95965742822577e-32,up
TAP1,TAP1,2.41910144659453,6.05782025983191,12.230072192702,2.59171123674289e-34,8.11097629132326e-32,up
TRIM21,TRIM21,2.3975817575719,6.0937587231884,12.1533502543785,6.61450697113131e-34,2.0278188514354e-31,up
HLA-F,HLA-F,2.50650464562202,5.46101002893129,12.061619176314,2.01246361629968e-33,6.04624568881076e-31,up
TRANK1,TRANK1,2.49001766474797,5.52134186457645,12.0527492293041,2.24008444701311e-33,6.59814677706488e-31,up
DTX3L,DTX3L,2.4197949915999,5.83305324900749,12.0352364261625,2.76724391415052e-33,7.9941419381479e-31,up
PSMB9,PSMB9,2.47521071404014,5.53406918296407,11.9973852587508,4.36492276864353e-33,1.23716735529364e-30,up
PARP14,PARP14,2.23381320845721,6.75146943497236,11.7118466390656,1.29857000664266e-31,3.61242937773816e-29,up
TRIM14,TRIM14,2.39530744246146,5.58435695490817,11.6751596238002,1.99650594225257e-31,5.45300222991237e-29,up
LAP3,LAP3,2.35336909747551,5.74327302117925,11.630963900821,3.34617686115197e-31,8.97611943004016e-29,up
PML,PML,2.33492828432137,5.83018678319761,11.6214666705965,3.73796863468989e-31,9.85118681233536e-29,up
LOXL2,LOXL2,2.14921003817246,7.24627282948193,11.4736735772753,2.07015578740786e-30,5.33693512403228e-28,up
ANGPTL4,ANGPTL4,2.13896901386974,7.43653878567136,11.4725905394669,2.09612017253298e-30,5.33693512403228e-28,up
UBE2L6,UBE2L6,2.19612005416213,6.64868649742978,11.466386883962,2.25119518110265e-30,5.63624233508733e-28,up
HLA-B,HLA-B,2.09618957854253,6.81315257469445,11.0257682194938,3.25166222022627e-28,8.00761801184247e-26,up
TM4SF20,TM4SF20,-2.20441557388874,7.02882137185175,-11.0166032821582,3.59873765561364e-28,8.71939307461742e-26,down
IRF1,IRF1,2.12142354864291,6.34902767104698,10.9264478808475,9.71655729769991e-28,2.31685910676267e-25,up
FGB,FGB,-2.04663557959767,8.21277580139481,-10.8260580488162,2.90918636151831e-27,6.82840586292625e-25,down
ZNFX1,ZNFX1,2.04997619603683,6.84323163154441,10.7972347570404,3.97849965487466e-27,9.19461874085033e-25,up
TRIM25,TRIM25,2.0370901670765,6.99523233223204,10.7925582893653,4.18545792969887e-27,9.52635591211158e-25,up
AKR1B1,AKR1B1,1.97827748962365,11.3549692982847,10.7888544937189,4.35691679783636e-27,9.76859763240266e-25,up
THEMIS2,THEMIS2,4.47623101213902,2.16571027005414,10.7026760107729,1.10466655303248e-26,2.44033837641969e-24,up
GBP1,GBP1,3.12656715696762,3.26543965460738,10.694216878384,1.20982301367165e-26,2.63390743643123e-24,up
APOL6,APOL6,2.32130131704741,4.99058342709674,10.6599744327853,1.74690024883695e-26,3.74884793400409e-24,up
IFIT5,IFIT5,2.24522018178339,5.25964615191526,10.6290122097555,2.43276982383261e-26,5.14719271741035e-24,up
S100A9,S100A9,3.23041771880123,3.09260571690042,10.6086823290453,3.02217859149367e-26,6.30543983353027e-24,up
CCL5,CCL5,2.50729153946087,4.38600416527825,10.5825209583712,3.99306541789778e-26,8.21696283666582e-24,up
UBA7,UBA7,3.19956085878759,3.09704585816275,10.5361342982,6.53296773803222e-26,1.32619245082054e-23,up
SMTNL1,SMTNL1,4.00886976092418,2.32462351142284,10.450267117654,1.61610454345777e-25,3.23694966024302e-23,up
EIF2AK2,EIF2AK2,2.09636706651887,5.79213493991752,10.4252598896389,2.10105621862286e-25,4.15290348896744e-23,up
